"","X","abv","ibu","id","name","style","brewery_id","ounces"
"85",276,0.045,16,2412,"Deception","American Blonde Ale",112,12
"86",277,0.075,35,1898,"Blackmarket Rye IPA","American IPA",112,12
"87",279,0.058,44,1896,"Aftermath Pale Ale","American Pale Ale (APA)",112,12
"88",283,0.066,44,1847,"Colorado Red Ale","American Amber / Red Ale",294,12
"89",285,0.046,20,2484,"Bomber Mountain Amber Ale","American Amber / Red Ale",79,12
"90",287,0.048,47,2634,"Nordskye ","American IPA",12,12
"91",291,0.07,51,1481,"51K IPA","American IPA",12,12
"92",306,0.046,35,611,"834 Happy As Ale","American Pale Ale (APA)",380,12
"93",309,0.08,80,1812,"Quarter Mile Double IPA","American Double / Imperial IPA",304,12
"94",310,0.059,60,1547,"Full Nelson Pale Ale","American Pale Ale (APA)",382,12
"95",313,0.059,60,119,"Full Nelson Pale Ale (2010)","American Pale Ale (APA)",382,12
"96",321,0.044,16,667,"Blue Point Summer Ale","American Blonde Ale",489,12
"97",331,0.042,30,1891,"Longhop IPA","American IPA",281,16
"98",335,0.066,72,2422,"Firestarter India Pale Ale","American IPA",107,12
"99",346,0.053,45,1183,"Kindler Pale Ale","American Pale Ale (APA)",107,12
"100",353,0.066,72,633,"Firestarter India Pale Ale","American IPA",107,16
"101",356,0.065,45,1629,"Rebel IPA","American IPA",300,16
"102",362,0.053,7,1144,"Samuel Adams Summer Ale","American Pale Wheat Ale",300,12
"103",364,0.049,35,1395,"Hazed & Infused","American Pale Ale (APA)",417,12
"104",365,0.057,35,808,"Hoopla Pale Ale","American Pale Ale (APA)",417,12
"105",366,0.049,35,81,"Hazed & Infused (2010)","American Pale Ale (APA)",417,12
"106",367,0.062,80,2596,"Heavy Lifting","American IPA",31,12
"107",373,0.07,80,1289,"Bozone HopZone IPA","American IPA",219,12
"108",376,0.052,40,2167,"Evil Owl","American Amber / Red Ale",207,12
"109",378,0.042,9,1522,"Agave Wheat","American Pale Wheat Ale",391,12
"110",379,0.045,15,397,"SummerBright Ale","American Pale Wheat Ale",391,12
"111",380,0.062,68,193,"Lucky U IPA","American IPA",391,12
"112",381,0.054,19,83,"Avalanche Ale","American Amber / Red Ale",391,12
"113",383,0.072,60,1801,"Last Stop IPA","American IPA",308,12
"114",385,0.055,28,1799,"Are Wheat There Yet?","American Pale Wheat Ale",308,12
"115",453,0.05,15,921,"Northern Lights Amber Ale","American Amber / Red Ale",493,12
"116",454,0.052,17,920,"Polar Pale Ale","American Pale Ale (APA)",493,12
"117",456,0.061,64,648,"Fairweather IPA","American IPA",493,12
"118",467,0.062,42,28,"Tule Duck Red Ale (Current)","American Amber / Red Ale",530,16
"119",472,0.06,40,2125,"1836","American Blonde Ale",214,12
"120",474,0.09,118,2123,"More Cowbell","American Double / Imperial IPA",214,16
"121",478,0.055,40,2478,"Pale Alement","American Pale Ale (APA)",24,12
"122",479,0.099,115,2471,"Hopkick Dropkick","American Double / Imperial IPA",24,12
"123",482,0.068,16,2160,"Joey Wheat","American Pale Wheat Ale",24,16
"124",483,0.072,86,2158,"3:33 Black IPA","American IPA",24,16
"125",485,0.055,40,2054,"Pale Alement","American Pale Ale (APA)",24,16
"126",487,0.056,36,668,"Mucho Aloha Hawaiian Pale Ale","American Pale Ale (APA)",517,12
"127",499,0.053,25,2214,"Horny Toad Cerveza","American Blonde Ale",182,16
"128",500,0.063,35,2213,"Native Amber","American Amber / Red Ale",182,16
"129",501,0.068,100,1442,"F5 IPA","American IPA",182,16
"130",502,0.063,35,170,"Native Amber (2013)","American Amber / Red Ale",182,16
"131",503,0.053,25,169,"Horny Toad Cerveza (2013)","American Blonde Ale",182,16
"132",504,0.068,100,2315,"Hopportunity Knocks IPA","American IPA",155,12
"133",506,0.056,55,1419,"Caldera Pale Ale","American Pale Ale (APA)",155,12
"134",508,0.054,24,794,"Ashland Amber Ale (2009)","American Amber / Red Ale",155,12
"135",509,0.061,94,793,"Caldera IPA (2009)","American IPA",155,12
"136",510,0.061,94,792,"Caldera IPA (2007)","American IPA",155,12
"137",511,0.056,55,791,"Caldera Pale Ale (2010)","American Pale Ale (APA)",155,12
"138",512,0.056,55,790,"Caldera Pale Ale (2009)","American Pale Ale (APA)",155,12
"139",513,0.056,55,789,"Caldera Pale Ale (2005)","American Pale Ale (APA)",155,12
"140",514,0.056,55,788,"Caldera Pale Ale (2007)","American Pale Ale (APA)",155,12
