"","abv","ibu","id","name","style","brewery_id","ounces","city","state","lon","lat","brewery"
"140",0.056,55,788,"Caldera Pale Ale (2007)","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"141",0.056,55,38,"Caldera Pale Ale (2011)","American Pale Ale (APA)",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"142",0.054,24,37,"Ashland Amber Ale","American Amber / Red Ale",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"143",0.061,94,36,"Caldera IPA","American IPA",155,12,"Ashland"," OR",-122.7094767,42.1945758,"Caldera Brewing Company"
"144",0.09,130,2067,"Dead-Eye DIPA","American Double / Imperial IPA",230,16,"Gloucester"," MA",-70.6619888,42.6159285,"Cape Ann Brewing Company"
"145",0.055,64,2066,"Fisherman's IPA","American IPA",230,12,"Gloucester"," MA",-70.6619888,42.6159285,"Cape Ann Brewing Company"
"146",0.055,30,2064,"Fisherman's Brew","American Amber / Red Ale",230,12,"Gloucester"," MA",-70.6619888,42.6159285,"Cape Ann Brewing Company"
"147",0.055,35,1928,"Cape Cod Red","American Amber / Red Ale",267,16,"Hyannis"," MA",-70.2881124,41.6524911,"Cape Cod Beer"
"148",0.049,10,1927,"Beach Blonde","American Blonde Ale",267,16,"Hyannis"," MA",-70.2881124,41.6524911,"Cape Cod Beer"
"149",0.056,55,1954,"Ghost Ship White IPA","American IPA",192,12,"Middleton"," WI",-89.5042876,43.0972174,"Capital Brewery"
"150",0.062,70,1177,"Mutiny IPA","American IPA",192,12,"Middleton"," WI",-89.5042876,43.0972174,"Capital Brewery"
"151",0.078,80,1940,"077XX","American Double / Imperial IPA",222,16,"Atlantic Highlands"," NJ",-74.034306,40.4078864,"Carton Brewing Company"
"152",0.042,35,1439,"Boat Beer","American IPA",222,12,"Atlantic Highlands"," NJ",-74.034306,40.4078864,"Carton Brewing Company"
"153",0.085,90,2600,"Gone A-Rye","American Double / Imperial IPA",29,16,"Seven Points"," TX",-96.2130315,32.3204226,"Cedar Creek Brewery"
"154",0.068,70,2052,"Dankosaurus","American IPA",29,16,"Seven Points"," TX",-96.2130315,32.3204226,"Cedar Creek Brewery"
"155",0.051,36,1182,"Elliott's Phoned Home Pale Ale","American Pale Ale (APA)",29,16,"Seven Points"," TX",-96.2130315,32.3204226,"Cedar Creek Brewery"
"156",0.052,42,1247,"Ray Ray’s Pale Ale","American Pale Ale (APA)",122,12,"Ashland"," VA",-122.7094767,42.1945758,"Center of the Universe Brewing C..."
"157",0.072,85,1648,"Lucky Day IPA","American IPA",350,16,"San Luis Obispo"," CA",-120.6596156,35.2827524,"Central Coast Brewing Company"
"158",0.095,99,1647,"Terrace Hill Double IPA","American Double / Imperial IPA",350,16,"San Luis Obispo"," CA",-120.6596156,35.2827524,"Central Coast Brewing Company"
"159",0.07,65,1933,"Missile IPA","American IPA",236,12,"Charlottesville"," VA",-78.4766781,38.0293059,"Champion Brewing Company"
"160",0.055,30,2017,"Pail Ale","American Pale Ale (APA)",250,16,"Angola"," IN",17.873887,-11.202692,"Chapman's Brewing"
"161",0.057,58,2380,"IPA #11","American IPA",121,16,"Cheboygan"," MI",-84.4744795,45.6469563,"Cheboygan Brewing Company"
"162",0.089,126,2440,"Bay of Bengal Double IPA (2014)","American Double / Imperial IPA",99,12,"Cincinnati"," OH",-84.5120196,39.1031182,"Christian Moerlein Brewing Company"
"163",0.062,65,2014,"Operation Homefront","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"164",0.07,60,1726,"Hopped on the High Seas (Hop #529)","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"165",0.07,60,1725,"Hopped on the High Seas (Calypso)","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"166",0.07,60,1694,"Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"167",0.07,60,1693,"Hopped on the High Seas (Citra)","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"168",0.07,60,1692,"Hopped on the High Seas (Ahtanum)","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"169",0.075,70,1142,"Humidor Series India Pale Ale","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"170",0.075,70,1141,"Jai Alai IPA Aged on White Oak","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"171",0.072,75,569,"Tocobaga Red Ale","American Amber / Red Ale",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"172",0.075,70,546,"Jai Alai IPA","American IPA",141,12,"Tampa"," FL",-82.4571776,27.950575,"Cigar City Brewing Company"
"173",0.067,60,1772,"Jacaranada Rye IPA","American IPA",320,16,"Claremont"," CA",-117.7197785,34.0966764,"Claremont Craft Ales"
"174",0.044,13,893,"Wheat the People","American Pale Wheat Ale",418,16,"Portland"," OR",-122.6764816,45.5230622,"Coalition Brewing Company"
"175",0.047,17,1407,"Tybee Island Blonde","American Blonde Ale",415,12,"Savannah"," GA",-81.0998342,32.0835407,"Coastal Empire Beer Company"
"176",0.065,75,2437,"Newport Storm IPA","American IPA",101,12,"Newport"," RI",-71.3128285,41.4901024,"Coastal Extreme Brewing Company"
"177",0.052,24,751,"Hurricane Amber Ale (2004)","American Amber / Red Ale",101,12,"Newport"," RI",-71.3128285,41.4901024,"Coastal Extreme Brewing Company"
"178",0.052,24,120,"Hurricane Amber Ale","American Amber / Red Ale",101,12,"Newport"," RI",-71.3128285,41.4901024,"Coastal Extreme Brewing Company"
"179",0.068,75,970,"Des Moines IPA","American IPA",482,16,"Des Moines"," IA",-93.6091064,41.6005448,"Confluence Brewing Company"
"180",0.056,21,968,"Farmer John's Multi-Grain Ale","American Blonde Ale",482,16,"Des Moines"," IA",-93.6091064,41.6005448,"Confluence Brewing Company"
"181",0.06,46,2538,"Neomexicanus Native","American Pale Ale (APA)",63,12,"Edwards"," CO",-117.92335,34.070214,"Crazy Mountain Brewing Company"
"182",0.052,25,356,"Crazy Mountain Amber Ale","American Amber / Red Ale",63,12,"Edwards"," CO",-117.92335,34.070214,"Crazy Mountain Brewing Company"
"183",0.065,65,2029,"Tropicalia","American IPA",247,12,"Athens"," GA",23.7275388,37.9838096,"Creature Comforts"
"184",0.049,25,2293,"Aviator Raspberry Blonde","American Blonde Ale",169,12,"Garden City"," ID",-73.6342954,40.7267682,"Crooked Fence Brewing Company"
"185",0.06,31,1057,"South Ridge Amber Ale","American Amber / Red Ale",472,16,"Boulder"," CO",-105.2705456,40.0149856,"Crystal Springs Brewing Company"
"186",0.05,15,1809,"The Tradition","American Blonde Ale",227,12,"Washington"," DC",-120.7401386,47.7510741,"DC Brau Brewing Company"
"187",0.092,115,851,"On the Wings of Armageddon","American Double / Imperial IPA",227,12,"Washington"," DC",-120.7401386,47.7510741,"DC Brau Brewing Company"
"188",0.065,80,186,"The Corruption","American IPA",227,12,"Washington"," DC",-120.7401386,47.7510741,"DC Brau Brewing Company"
"189",0.063,37,1746,"Dead Armadillo Amber Ale","American Amber / Red Ale",330,12,"Tulsa"," OK",-95.992775,36.1539816,"Dead Armadillo Craft Brewing"
